Typeface,Faces available,"Target script
and other notes","Windows
version",Example image
Abadi MT Condensed Light,Regular,Latin/Greek/Cyrillic,98,
Aharoni,Bold,Hebrew,,
Aldhabi,Regular,Arabic,8,
Andalus,Regular,Arabic,,
Angsana New,"Regular, Bold, Italic, Bold Italic",Thai,,
AngsanaUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Aparajita,"Regular, Bold, Italic, Bold Italic",Devanagari,7,
Arabic Typesetting,Regular,Arabic,,
Arial,"Regular, Bold, Italic, Bold Italic","Latin/Greek/Cyrillic, Arabic, Hebrew",3.1,
Arial Black,"Black, Black Italic","Latin/Greek/Cyrillic, Arabic, Hebrew",98,
Batang,Regular,Korean,XP,
BatangChe,Regular,Korean,,
Book Antiqua,Regular,Latin/Greek/Cyrillic,98,
Browallia New,"Regular, Bold, Italic, Bold Italic",Thai,,
BrowalliaUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Calibri,"Regular, Bold, Italic, Bold Italic","Latin/Greek/Cyrillic, Vietnamese (Windows 8.0)",Vista,
Calibri Light,"Regular, Italic","Latin/Greek/Cyrillic, Vietnamese",8,
Calisto MT,Regular,Latin/Greek/Cyrillic,98,
Cambria,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,Vista,
Cambria Math,Regular,Math,Vista,
Candara,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,Vista,
Century Gothic,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,98,
Comic Sans MS,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,95,
Consolas,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,Vista,
Constantia,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,Vista,
Copperplate Gothic Bold,Regular,Latin/Greek/Cyrillic,98,
Copperplate Gothic Light,Regular,Latin/Greek/Cyrillic,98,
Corbel,"Regular, Italic, Bold, Bold Italic",Latin/Greek/Cyrillic,Vista,
Cordia New,"Regular, Bold, Italic, Bold Italic",Thai,,
CordiaUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Courier New,"Regular, Bold, Italic, Bold Italic","Latin/Greek/Cyrillic, Arabic, Hebrew",3.1,
DaunPenh,Regular,Khmer,Vista,
David,"Regular, Bold",Hebrew,,
DFKai-SB,Regular,Traditional Chinese,,
DilleniaUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
DokChampa,Regular,"Lao, Thai",,
Dotum,Regular,Korean,,
DotumChe,Regular,Korean,,
Ebrima,"Regular, Bold","N'Ko, Tifinagh, Vai",7,
Estrangelo Edessa,Regular,Syriac,,
EucrosiaUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Euphemia,Regular,Unified Canadian Syllabics,,
FangSong,Monospaced,Simplified Chinese,,
Franklin Gothic Medium,"Regular, Italic",Latin/Greek/Cyrillic,7,
FrankRuehl,Regular,Hebrew,,
FreesiaUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Gabriola,Regular,Latin/Greek/Cyrillic,7,
Gadugi,"Regular, Bold","Cherokee, Unified Canadian Aboriginal Syllabics",8,
Gautami,"Regular, Bold",Telugu,,
Georgia,"Regular, Bold, Italic, Bold Italic",Latin/Greek/Cyrillic,2000,
Gisha,"Regular, Bold",Hebrew,,
Gulim,Regular,Korean,,
GulimChe,Regular,Korean,,
Gungsuh,Regular,Korean,,
GungsuhChe,Regular,Korean,,
Impact,Regular,Latin/Greek/Cyrillic,98,
IrisUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Iskoola Pota,"Regular, Bold",Sinhala,,
JasmineUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
KaiTi,Regular,Simplified Chinese,7,
Kalinga,"Regular, Bold",Oriya,,
Kartika,"Regular, Bold",Malayalam,,
Khmer UI,"Regular, Bold",Khmer,,
KodchiangUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Kokila,"Regular, Bold, Italic, Bold Italic",Devanagari,7,
Lao UI,"Regular, Bold",Lao,7,
Latha,"Regular, Bold",Tamil,,
Leelawadee,"Regular, Bold",Thai,,
Levenim MT,"Regular, Bold",Hebrew,,
LilyUPC,"Regular, Bold, Italic, Bold Italic",Thai,,
Lucida Console,Regular,Latin/Greek/Cyrillic,98,
Lucida Handwriting Italic,Regular,Latin/Greek/Cyrillic,98,
Lucida Sans Unicode,Regular,"Latin/Greek/Cyrillic, Hebrew",98,
Malgun Gothic,"Regular, Bold",Korean (no Hanja),Vista,
Mangal,"Regular, Bold",Devanagari,,
Manny ITC,Regular,Latin,1997,
Marlett,Regular,Windows Interface,95,
Meiryo,"Regular, Bold, Italic, Bold Italic",Japanese,Vista,
Meiryo UI,"Regular, Bold, Italic, Bold Italic",Japanese,7,
Microsoft Himalaya,Regular,Tibetan,Vista,
Microsoft JhengHei,"Regular, Bold",Traditional Chinese,Vista,
Microsoft JhengHei UI,"Regular, Bold",Traditional Chinese,8,
Microsoft New Tai Lue,"Regular, Bold",New Tai Lue,7,
Microsoft PhagsPa,"Regular, Bold",Phags-pa,7,
Microsoft Sans Serif,Regular,"Latin/Greek/Cyrillic, Arabic, Hebrew, Thai",,
Microsoft Tai Le,"Regular, Bold",Tai Nüa,7,
Microsoft Uighur,"Regular, Bold",Uighur,,
Microsoft YaHei,"Regular, Bold",Simplified Chinese,Vista,
Microsoft YaHei UI,"Regular, Bold",Simplified Chinese,8,
Microsoft Yi Baiti,Regular,Yi,,
"MingLiU, PMingLiU","Monospaced, Proportional",Traditional Chinese,,
"MingLiU-ExtB, PMingLiU-ExtB","Monospaced, Proportional",Traditional Chinese,,
MingLiU_HKSCS,Monospaced,Cantonese,,
MingLiU_HKSCS-ExtB,Monospaced,Cantonese,,
Miriam,"Monospaced, Proportional",Hebrew,,
Mongolian Baiti,Regular,Mongolian,Vista,
MoolBoran,Regular,Khmer,,
"MS Gothic, MS PGothic","Monospaced, Proportional",Japanese,,
"MS Mincho, MS PMincho","Monospaced, Proportional",Japanese,,
MS UI Gothic,Proportional,Japanese,,
MV Boli,Regular,Thaana,,
Myanmar Text,Regular,Myanmar,8,
Narkisim,Regular,Hebrew,,
